latitude,longitude,rwi,error
10.4121830,0.7141113,-0.455,0.281
7.9830776,1.2854004,-0.375,0.285
10.7793483,0.5603027,-0.157,0.288
6.4135660,0.9338379,-0.102,0.322
9.7198857,0.3625488,-0.336,0.275
6.7628064,1.1535645,-0.552,0.290
6.7409861,0.8020020,-0.585,0.311
6.2388552,1.3513184,-0.715,0.326
7.2207995,0.8679199,-0.495,0.277
10.6714043,0.1647949,-0.288,0.300
6.9809543,0.5822754,0.032,0.271
10.8009324,0.0109863,-0.616,0.282
7.8307313,1.6149902,-0.778,0.296
8.2441099,1.3073730,-0.443,0.278
10.0229482,0.6921387,0.319,0.283
9.9580298,0.4943848,-0.070,0.282
9.6549077,1.1315918,0.103,0.408
7.7436512,1.4611816,-0.243,0.299
9.4598988,0.2307129,-0.679,0.278
8.6136097,1.2634277,-0.665,0.282
8.2006163,0.8459473,-0.313,0.286
8.0701072,0.8679199,-0.441,0.288
10.7793483,0.7141113,-0.255,0.276
8.0701072,1.4392090,-0.411,0.277
10.5418209,0.1647949,-0.341,0.289
6.6973426,0.9777832,-0.461,0.280
10.8656756,0.4943848,-0.975,0.279
6.4572344,1.2854004,0.094,0.318
7.3951528,1.5051270,-0.506,0.273
6.7191648,1.0876465,-0.121,0.277
8.5918843,0.4943848,-0.625,0.293
6.7846256,1.6149902,-0.424,0.281
8.0483515,1.0876465,-0.799,0.282
10.2608706,0.6042480,-0.675,0.298
10.9304048,0.5163574,-0.609,0.293
6.9373327,1.5490723,-0.451,0.271
10.2392486,0.7800293,-0.378,0.290
6.2825384,1.7248535,-0.324,0.279
7.8960294,1.2414551,-0.207,0.285
6.2825384,1.2854004,0.602,0.355
8.7873681,0.4284668,-0.190,0.282
8.8307950,1.6149902,-0.633,0.292
10.9735497,0.2966309,0.058,0.290
6.3698938,1.6369629,-0.262,0.336
10.8872536,0.0329590,-0.501,0.282
10.2176252,0.9338379,-0.574,0.300
7.6565531,1.0876465,-0.617,0.294
8.7004990,1.0437012,-0.581,0.334
7.6347758,1.5490723,-0.498,0.289
6.6973426,1.3073730,-0.670,0.301
7.5258726,1.5930176,-0.762,0.286
6.6318701,1.5270996,0.025,0.328
8.2875987,1.2854004,-0.643,0.282
9.7631974,0.4064941,-0.382,0.281
8.1788678,0.9777832,0.654,0.438
7.8742645,1.1315918,-0.458,0.337
6.5882169,1.0437012,-0.491,0.293
9.6115820,1.0876465,-0.059,0.317
7.2425974,0.8459473,-0.199,0.275
7.8307313,1.1535645,-0.682,0.296
9.4598988,1.1535645,-0.336,0.300
8.4832384,1.3293457,-0.611,0.282
9.1997151,0.8459473,-0.207,0.315
6.6755194,0.9338379,-0.786,0.285
9.6332456,0.9118652,-0.318,0.281
8.3093413,1.2414551,-0.640,0.283
8.9176335,1.5051270,-0.732,0.276
7.4387304,0.9558105,-0.513,0.284
6.6318701,0.9118652,-0.487,0.299
6.6973426,1.0217285,-0.439,0.405
10.2824911,0.8679199,-0.354,0.283
8.2223637,1.1535645,-0.138,0.306
11.1029466,-0.0988770,-0.774,0.337
6.7628064,0.6701660,-0.335,0.312
6.5882169,0.8459473,-0.484,0.280
11.0382553,0.0769043,-0.180,0.330
8.1353671,1.2854004,-0.125,0.278
8.6787785,1.5270996,-0.408,0.293
7.5912178,1.4831543,-0.251,0.275
9.7848511,1.2634277,-0.719,0.317
6.7846256,0.7800293,-0.450,0.303
10.9304048,0.6701660,-0.871,0.279
10.4554016,0.5603027,-0.509,0.279
7.2425974,0.7141113,-0.323,0.300
7.3297783,0.8459473,-0.140,0.317
9.5465832,1.1315918,-0.349,0.342
6.7846256,0.9118652,-0.503,0.282
10.7577626,0.2087402,-0.388,0.315
6.7191648,1.2414551,-0.448,0.293
8.0048367,1.3732910,-0.256,0.292
10.6929962,0.1867676,-0.592,0.286
7.7654229,1.3073730,-0.400,0.300
8.0048367,1.1975098,-0.666,0.335
6.9373327,1.4831543,-0.506,0.269
6.7628064,1.6149902,-0.416,0.280
9.3515125,0.5603027,-0.588,0.285
6.9591440,1.2194824,-0.199,0.316
10.6498109,0.3186035,-0.330,0.287
8.0701072,1.3293457,-0.788,0.297
8.9176335,1.5270996,-0.172,0.279
8.8742168,1.0876465,-0.368,0.335
7.0463790,0.8020020,-0.485,0.275
8.0918616,1.4392090,-0.587,0.279
9.8281543,1.2854004,-0.313,0.276
9.3515125,1.1755371,-0.300,0.322
9.7631974,0.6921387,-0.286,0.281
10.3257277,0.5603027,-0.687,0.295
8.1136149,0.6481934,-0.239,0.285
