prefecture,gender,age,own_phone
OTI-SUD,F,47,False
DANYI,F,80,False
BINAH,M,82,True
BLITTA,F,81,False
DANKPEN,F,90,True
AVE,F,97,False
GOLFE,F,40,True
AGOE-NYIVE,M,33,True
HAHO,F,52,False
AGOU,F,42,True
DANYI,M,48,True
BASSAR,M,94,True
BAS-MONO,F,88,True
OGOU,M,84,False
KPELE,M,31,True
OTI-SUD,F,22,True
KLOTO,M,40,True
KPELE,F,56,True
DANKPEN,M,42,True
TANDJOARE,F,71,False
TCHAMBA,M,93,True
EST-MONO,M,32,True
ASSOLI,M,41,False
LOME COMMUNE,F,74,True
LOME COMMUNE,M,77,True
TCHAOUDJO,F,42,False
VO,F,75,True
LACS,F,39,True
DOUFELGOU,M,22,True
BLITTA,F,85,False
BASSAR,F,90,True
LACS,M,36,True
AGOU,M,85,True
AGOE-NYIVE,F,60,False
KERAN,F,87,False
BINAH,M,63,True
MOYEN-MONO,F,27,False
DOUFELGOU,M,25,False
BINAH,M,69,True
TCHAOUDJO,M,63,True
BASSAR,F,40,False
ANIE,F,55,False
BAS-MONO,M,33,True
KPENDJAL,F,74,False
ANIE,F,85,True
ASSOLI,M,85,True
MOYEN-MONO,F,88,False
DANYI,F,69,False
OTI,M,19,True
HAHO,F,55,True
KLOTO,F,96,False
GOLFE,M,35,False
AGOE-NYIVE,F,95,False
ASSOLI,M,65,True
OGOU,F,93,False
YOTO,F,88,False
LOME COMMUNE,F,42,True
BASSAR,M,82,True
OTI,M,82,False
OGOU,M,60,True
LACS,F,92,False
BLITTA,M,33,True
ANIE,F,42,True
PLAINE DU MO,F,78,False
LOME COMMUNE,F,76,True
AMOU,F,55,False
SOTOUBOUA,M,52,True
OTI-SUD,F,67,True
KOZAH,F,78,False
KPENDJAL-OUEST,F,65,False
BINAH,M,45,True
VO,F,88,True
YOTO,M,43,True
CINKASSE,F,78,True
LOME COMMUNE,F,62,True
GOLFE,M,40,True
LOME COMMUNE,M,25,True
OGOU,M,30,True
BASSAR,M,63,True
TANDJOARE,M,19,True
CINKASSE,F,88,True
VO,F,77,False
MOYEN-MONO,F,91,False
LOME COMMUNE,M,97,True
AGOU,M,80,True
DOUFELGOU,F,82,False
ANIE,F,97,True
AGOE-NYIVE,F,91,False
DOUFELGOU,M,47,True
BAS-MONO,F,80,False
KPENDJAL,M,27,True
BAS-MONO,M,52,True
AKEBOU,F,19,False
DANYI,M,69,True
SOTOUBOUA,M,35,True
KPENDJAL,M,56,False
DANKPEN,M,59,True
BASSAR,M,23,True
DOUFELGOU,M,41,True
BINAH,F,75,False
DANKPEN,F,85,True
DANYI,F,22,True
KPELE,F,58,False
TCHAOUDJO,M,28,True
AMOU,F,80,True
PLAINE DU MO,M,30,True
BASSAR,M,65,False
ASSOLI,F,72,True
KLOTO,M,66,True
VO,M,49,True
DOUFELGOU,M,93,False
CINKASSE,M,70,True
LOME COMMUNE,F,46,True
KERAN,F,39,False
BASSAR,M,90,True
MOYEN-MONO,M,31,True
CINKASSE,F,37,True
TANDJOARE,M,26,True
KPELE,F,74,True
VO,M,37,True
DANYI,F,52,True
AGOU,M,87,True
TCHAOUDJO,M,74,True
MOYEN-MONO,M,25,True
KLOTO,M,86,True
WAWA,M,49,True
AKEBOU,F,20,True
TANDJOARE,F,24,True
PLAINE DU MO,F,54,False
YOTO,M,92,True
CINKASSE,M,87,True
VO,F,35,True
KLOTO,M,28,True
LACS,M,35,True
BAS-MONO,M,71,False
AKEBOU,F,70,True
BASSAR,F,45,True
PLAINE DU MO,F,28,False
GOLFE,M,36,True
AVE,M,34,True
KERAN,M,59,True
KPELE,M,73,False
LACS,F,83,False
OTI-SUD,F,75,False
DOUFELGOU,F,53,True
WAWA,F,88,True
KPELE,F,82,True
CINKASSE,F,87,False
VO,M,94,True
OGOU,M,41,False
KPENDJAL,M,58,True
PLAINE DU MO,F,95,True
VO,M,43,True
KOZAH,F,70,False
OGOU,F,22,False
EST-MONO,M,67,True
