,Feature,Importance
1,feature1,58
59,feature59,11
13,feature13,9
20,feature20,8
56,feature56,8
2,feature2,7
86,feature86,7
93,feature93,7
5,feature5,6
88,feature88,6
70,feature70,4
0,feature0,4
9,feature9,4
97,feature97,4
51,feature51,3
10,feature10,3
96,feature96,3
17,feature17,3
18,feature18,3
47,feature47,3
6,feature6,3
81,feature81,3
26,feature26,3
27,feature27,2
65,feature65,2
69,feature69,2
42,feature42,2
41,feature41,2
72,feature72,2
75,feature75,2
38,feature38,2
11,feature11,2
7,feature7,2
61,feature61,1
76,feature76,1
95,feature95,1
98,feature98,1
83,feature83,1
99,feature99,1
22,feature22,1
30,feature30,1
31,feature31,1
16,feature16,1
39,feature39,0
84,feature84,0
73,feature73,0
74,feature74,0
23,feature23,0
77,feature77,0
78,feature78,0
79,feature79,0
80,feature80,0
21,feature21,0
82,feature82,0
19,feature19,0
85,feature85,0
71,feature71,0
87,feature87,0
15,feature15,0
89,feature89,0
90,feature90,0
91,feature91,0
92,feature92,0
14,feature14,0
94,feature94,0
12,feature12,0
8,feature8,0
4,feature4,0
3,feature3,0
24,feature24,0
28,feature28,0
25,feature25,0
53,feature53,0
37,feature37,0
36,feature36,0
43,feature43,0
44,feature44,0
45,feature45,0
46,feature46,0
35,feature35,0
48,feature48,0
49,feature49,0
34,feature34,0
33,feature33,0
52,feature52,0
54,feature54,0
40,feature40,0
55,feature55,0
32,feature32,0
57,feature57,0
58,feature58,0
60,feature60,0
62,feature62,0
63,feature63,0
64,feature64,0
29,feature29,0
66,feature66,0
67,feature67,0
68,feature68,0
50,feature50,0
