,Feature,Importance
1,feature1,74
6,feature6,15
49,feature49,12
97,feature97,11
5,feature5,9
14,feature14,7
76,feature76,7
80,feature80,6
70,feature70,6
18,feature18,6
46,feature46,5
45,feature45,5
29,feature29,3
32,feature32,3
53,feature53,3
54,feature54,3
63,feature63,3
88,feature88,2
41,feature41,2
74,feature74,2
67,feature67,1
68,feature68,1
38,feature38,1
73,feature73,1
36,feature36,1
57,feature57,1
58,feature58,1
0,feature0,1
30,feature30,1
17,feature17,1
98,feature98,1
81,feature81,1
24,feature24,1
86,feature86,1
90,feature90,1
85,feature85,1
65,feature65,0
91,feature91,0
92,feature92,0
94,feature94,0
64,feature64,0
93,feature93,0
95,feature95,0
62,feature62,0
96,feature96,0
66,feature66,0
78,feature78,0
89,feature89,0
87,feature87,0
60,feature60,0
69,feature69,0
71,feature71,0
72,feature72,0
84,feature84,0
83,feature83,0
82,feature82,0
75,feature75,0
79,feature79,0
77,feature77,0
61,feature61,0
50,feature50,0
59,feature59,0
12,feature12,0
22,feature22,0
21,feature21,0
20,feature20,0
19,feature19,0
16,feature16,0
15,feature15,0
13,feature13,0
11,feature11,0
25,feature25,0
10,feature10,0
9,feature9,0
8,feature8,0
7,feature7,0
4,feature4,0
3,feature3,0
2,feature2,0
23,feature23,0
26,feature26,0
56,feature56,0
42,feature42,0
55,feature55,0
52,feature52,0
51,feature51,0
48,feature48,0
47,feature47,0
44,feature44,0
43,feature43,0
40,feature40,0
27,feature27,0
39,feature39,0
37,feature37,0
35,feature35,0
34,feature34,0
33,feature33,0
31,feature31,0
28,feature28,0
99,feature99,0
