,Feature,Importance
1,feature1,40
63,feature63,5
97,feature97,4
4,feature4,4
18,feature18,4
26,feature26,4
6,feature6,3
74,feature74,3
70,feature70,2
64,feature64,2
61,feature61,1
45,feature45,1
48,feature48,1
27,feature27,1
34,feature34,1
33,feature33,1
53,feature53,1
54,feature54,1
68,feature68,1
69,feature69,0
72,feature72,0
71,feature71,0
0,feature0,0
67,feature67,0
66,feature66,0
65,feature65,0
62,feature62,0
60,feature60,0
59,feature59,0
58,feature58,0
73,feature73,0
77,feature77,0
75,feature75,0
76,feature76,0
98,feature98,0
96,feature96,0
95,feature95,0
94,feature94,0
93,feature93,0
92,feature92,0
91,feature91,0
90,feature90,0
89,feature89,0
88,feature88,0
87,feature87,0
86,feature86,0
85,feature85,0
84,feature84,0
83,feature83,0
82,feature82,0
81,feature81,0
80,feature80,0
79,feature79,0
78,feature78,0
56,feature56,0
57,feature57,0
50,feature50,0
55,feature55,0
13,feature13,0
22,feature22,0
21,feature21,0
20,feature20,0
19,feature19,0
17,feature17,0
16,feature16,0
15,feature15,0
14,feature14,0
12,feature12,0
24,feature24,0
11,feature11,0
10,feature10,0
9,feature9,0
8,feature8,0
7,feature7,0
5,feature5,0
3,feature3,0
2,feature2,0
23,feature23,0
25,feature25,0
52,feature52,0
40,feature40,0
51,feature51,0
49,feature49,0
47,feature47,0
46,feature46,0
44,feature44,0
43,feature43,0
42,feature42,0
41,feature41,0
39,feature39,0
28,feature28,0
38,feature38,0
37,feature37,0
36,feature36,0
35,feature35,0
32,feature32,0
31,feature31,0
30,feature30,0
29,feature29,0
99,feature99,0
