,Feature,Importance
9,feature9,80
1,feature1,45
14,feature14,45
28,feature28,11
21,feature21,10
48,feature48,10
72,feature72,9
34,feature34,9
11,feature11,7
46,feature46,7
79,feature79,6
30,feature30,6
87,feature87,6
2,feature2,6
44,feature44,5
24,feature24,5
20,feature20,5
36,feature36,5
10,feature10,5
68,feature68,5
43,feature43,4
19,feature19,4
5,feature5,4
78,feature78,4
73,feature73,4
77,feature77,4
54,feature54,4
37,feature37,4
29,feature29,4
71,feature71,3
41,feature41,3
39,feature39,3
56,feature56,3
58,feature58,3
33,feature33,3
32,feature32,3
96,feature96,3
61,feature61,3
26,feature26,3
80,feature80,3
94,feature94,3
8,feature8,3
16,feature16,3
47,feature47,2
65,feature65,2
93,feature93,2
66,feature66,2
35,feature35,2
97,feature97,2
81,feature81,2
42,feature42,2
75,feature75,2
63,feature63,2
98,feature98,1
84,feature84,1
69,feature69,1
83,feature83,1
76,feature76,1
50,feature50,1
99,feature99,1
15,feature15,1
6,feature6,1
53,feature53,1
7,feature7,1
12,feature12,1
18,feature18,1
49,feature49,1
13,feature13,1
60,feature60,0
88,feature88,0
17,feature17,0
85,feature85,0
86,feature86,0
91,feature91,0
89,feature89,0
90,feature90,0
92,feature92,0
95,feature95,0
4,feature4,0
3,feature3,0
82,feature82,0
22,feature22,0
59,feature59,0
23,feature23,0
62,feature62,0
57,feature57,0
64,feature64,0
55,feature55,0
67,feature67,0
52,feature52,0
51,feature51,0
70,feature70,0
45,feature45,0
40,feature40,0
74,feature74,0
38,feature38,0
31,feature31,0
27,feature27,0
25,feature25,0
0,feature0,0
