,Feature,Importance
25,feature25,14
70,feature70,10
60,feature60,7
58,feature58,6
14,feature14,6
19,feature19,6
75,feature75,5
35,feature35,5
94,feature94,5
76,feature76,5
92,feature92,5
81,feature81,4
26,feature26,4
63,feature63,4
27,feature27,4
93,feature93,4
53,feature53,4
68,feature68,4
45,feature45,3
0,feature0,3
18,feature18,3
82,feature82,3
84,feature84,3
86,feature86,3
89,feature89,3
8,feature8,3
3,feature3,3
62,feature62,2
61,feature61,2
97,feature97,2
98,feature98,2
43,feature43,2
38,feature38,2
99,feature99,2
4,feature4,2
21,feature21,2
7,feature7,2
20,feature20,2
34,feature34,1
16,feature16,1
23,feature23,1
65,feature65,1
69,feature69,1
71,feature71,1
72,feature72,1
74,feature74,1
78,feature78,1
77,feature77,1
57,feature57,1
79,feature79,1
13,feature13,1
11,feature11,1
85,feature85,1
91,feature91,1
5,feature5,1
2,feature2,1
59,feature59,1
67,feature67,1
41,feature41,1
55,feature55,1
56,feature56,1
54,feature54,1
30,feature30,1
29,feature29,1
32,feature32,1
47,feature47,1
48,feature48,1
28,feature28,0
9,feature9,0
10,feature10,0
87,feature87,0
88,feature88,0
40,feature40,0
90,feature90,0
83,feature83,0
39,feature39,0
6,feature6,0
95,feature95,0
96,feature96,0
37,feature37,0
36,feature36,0
42,feature42,0
44,feature44,0
12,feature12,0
51,feature51,0
24,feature24,0
22,feature22,0
64,feature64,0
66,feature66,0
33,feature33,0
52,feature52,0
17,feature17,0
31,feature31,0
1,feature1,0
49,feature49,0
73,feature73,0
15,feature15,0
46,feature46,0
80,feature80,0
50,feature50,0
